uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
13,11,130.173.33.162,10.146.170.36,53,61294,null,null,10.193.197.243,16,null,91,1,0.0
13,12,130.173.33.162,10.146.170.36,53,61297,null,null,10.193.197.243,16,null,146,1,0.0
13,13,10.47.18.237,10.146.171.132,53,44760,null,null,10.193.204.227,18,null,83,1,0.0
14,1,10.47.18.237,10.146.161.92,53,60490,null,null,10.193.204.227,18,null,83,1,0.0
14,2,10.47.18.237,10.146.162.31,53,54353,null,null,10.193.204.227,18,null,83,1,0.0
14,3,10.47.18.237,10.146.165.111,53,39442,null,null,10.193.204.227,18,null,83,1,0.0
14,4,10.146.170.36,117.105.89.22,61299,53,null,null,198.208.133.142,15,null,95,1,0.0
14,5,10.146.170.36,130.173.33.162,61300,53,null,null,198.208.134.142,15,null,95,1,0.0
14,6,10.146.170.36,117.105.89.22,61302,53,null,null,198.208.133.142,15,null,95,1,0.0
14,7,10.146.170.36,130.173.33.162,61303,53,null,null,198.208.134.142,15,null,95,1,0.0
14,8,130.173.33.162,10.146.170.36,53,61300,null,null,10.193.197.243,16,null,93,1,0.0
14,9,130.173.33.162,10.146.170.36,53,61303,null,null,10.193.197.243,16,null,149,1,0.0
14,10,10.146.164.196,10.47.18.237,35962,53,null,null,198.208.210.68,15,null,85,1,0.0
14,11,11.67.68.11,10.173.54.9,2000,21728,null,null,10.193.197.243,16,null,52,1,0.0
14,12,10.146.162.210,10.47.18.237,49736,53,null,null,10.205.14.165,11,null,83,1,0.0
14,13,10.146.162.99,208.67.222.222,34066,53,null,null,10.147.91.150,11,null,160,2,5.0
15,1,10.146.162.156,10.124.213.182,39950,22443,null,null,10.205.14.164,11,null,436186,1323,0.0
15,2,10.146.162.17,208.67.222.222,56688,53,null,null,10.147.91.149,11,null,160,2,5.0
15,3,10.173.54.9,11.67.68.11,21728,2000,null,null,10.147.95.150,11,null,130,2,0.0
15,4,10.146.162.194,192.168.223.1,59432,161,null,null,198.208.134.53,15,null,0,0,20.0
15,5,10.146.162.33,208.67.222.222,58700,53,null,null,198.208.133.53,15,null,160,2,5.0
15,6,10.146.162.103,208.67.222.222,35828,53,null,null,10.147.91.150,11,null,160,2,5.0
15,7,10.146.171.50,208.67.222.222,47603,53,null,null,198.208.134.53,15,null,160,2,5.0
15,8,10.146.162.245,208.67.222.222,51044,53,null,null,198.208.133.142,15,null,160,2,5.0
15,9,10.146.164.44,10.192.144.233,58411,22443,null,null,198.208.210.68,15,null,369738,1799,0.0
15,10,10.146.170.36,117.105.89.22,61305,53,null,null,198.208.133.142,15,null,93,1,0.0
15,11,10.146.170.36,130.173.33.162,61306,53,null,null,198.208.134.142,15,null,93,1,0.0
15,12,10.146.164.44,8.8.8.8,0,0,null,null,198.208.31.216,1,null,11730,115,0.0
