flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
2142,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:10.584281000 Eastern Standard Time",1675368010.584281000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2143,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:10.913532000 Eastern Standard Time",1675368010.913532000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2144,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:10.933866000 Eastern Standard Time",1675368010.933866000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2145,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:11.389812000 Eastern Standard Time",1675368011.389812000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2146,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:11.406306000 Eastern Standard Time",1675368011.406306000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2147,1,Set 1 [id=257] (5 flows),packets-2023-02-02,"Feb  2, 2023 15:00:11.496754000 Eastern Standard Time",1675368011.496754000,582,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,5,524
2148,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:11.855466000 Eastern Standard Time",1675368011.855466000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2149,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:11.908254000 Eastern Standard Time",1675368011.908254000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2150,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.174297000 Eastern Standard Time",1675368012.174297000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2151,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.420564000 Eastern Standard Time",1675368012.420564000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2152,1,Set 1 [id=257] (5 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.504091000 Eastern Standard Time",1675368012.504091000,582,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,5,524
2153,1,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.504091000 Eastern Standard Time",1675368012.504091000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
2154,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.927990000 Eastern Standard Time",1675368012.927990000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2155,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:12.928837000 Eastern Standard Time",1675368012.928837000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2156,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:13.283582000 Eastern Standard Time",1675368013.283582000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2157,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:13.417963000 Eastern Standard Time",1675368013.417963000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2158,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:13.533433000 Eastern Standard Time",1675368013.533433000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2159,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:13.919468000 Eastern Standard Time",1675368013.919468000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2160,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:13.920491000 Eastern Standard Time",1675368013.920491000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2161,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:14.083459000 Eastern Standard Time",1675368014.083459000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2162,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:14.307725000 Eastern Standard Time",1675368014.307725000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2163,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:14.422096000 Eastern Standard Time",1675368014.422096000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2164,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:14.536498000 Eastern Standard Time",1675368014.536498000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
